mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin	Trill:trill	pedal	Pedal_<sym>keyboardPedalPed</sym>
58	58	171	171	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	533								2	2
58	58	343/2	343/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	534								2	2
58	58	172	172	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	535								2	2
58	58	345/2	345/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	536								2	2
58	58	173	173	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	537								2	2
58	58	347/2	347/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	538								2	2
59	59	174	174	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	539				13					
59	59	349/2	349/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	540				13					
59	59	175	175	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	541				13					
59	59	351/2	351/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	542									
59	59	174	174	0.0	0	0	Spanner	6/8	2	1	0													
59	59	174	174	0.0	0	0	Spanner	6/8	2	1	0												3	3
59	59	174	174	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	543								3	3
59	59	174	174	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	544								3	3
60	60	355/2	355/2	0.0	1/8	1/8	Dynamic	6/8	1	1	0					pp								
60	60	355/2	355/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	545				14					
60	60	178	178	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	546				14					
60	60	357/2	357/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	547				14					
60	60	179	179	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	548				14					
60	60	359/2	359/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	549				14					
60	60	177	177	0.0	0	0	Spanner	6/8	2	1	0													
60	60	177	177	0.0	0	0	Spanner	6/8	2	1	0												4	4
60	60	177	177	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	550				15				4	4
60	60	355/2	355/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	551				15				4	4
60	60	178	178	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	552				15				4	4
60	60	357/2	357/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	553				15				4	4
60	60	179	179	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	554				15				4	4
60	60	359/2	359/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	555				15				4	4
61	61	180	180	0.0	0	0	Spanner	6/8	1	1	0									9				
61	61	180	180	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	556					9				
61	61	361/2	361/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	557		articStaccatoAbove		16	9				
61	61	181	181	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	558		articStaccatoAbove		16	9				
61	61	363/2	363/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	559		articStaccatoAbove		16	9				
61	61	182	182	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	560		articStaccatoAbove		16	9				
61	61	365/2	365/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	561		articStaccatoAbove		16	9				
61	61	180	180	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	562								4	4
61	61	361/2	361/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	563		articStaccatoBelow		17				4	4
61	61	181	181	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	564		articStaccatoBelow		17				4	4
61	61	363/2	363/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	565		articStaccatoAbove		17				4	4
61	61	182	182	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	566		articStaccatoAbove		17				4	4
61	61	365/2	365/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	567		articStaccatoAbove		17				4	4
62	62	183	183	0.0	0	0	Spanner	6/8	1	1	0													
62	62	183	183	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	568		articStaccatoAbove							
62	62	183	183	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	569		articStaccatoAbove						4	4
62	62	186	186	0.0	3/4	3/4	Spanner	6/8	2	1	0													
